site_id,acquisition_date,index,buffer_m,area_m2,area_retained_ratio,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,mean,median,std,minimum,maximum,p10,p25,p75,p90,is_usable
site_005,2015-07-30,ndmi,0,15630.418958895847,1.0,66,110,110,0,0.0,,,NaN,NaN,NaN,,,,,False
site_005,2015-07-30,ndmi,10,9009.587406432553,0.5764136860390978,37,44,44,0,0.0,,,NaN,NaN,NaN,,,,,False
site_005,2015-07-30,ndmi,20,4371.697514257867,0.2796916401124215,19,20,20,0,0.0,,,NaN,NaN,NaN,,,,,False
site_005,2015-08-02,ndmi,0,15630.418958895847,1.0,66,110,54,56,0.8484848484848485,0.24491069485832534,0.25194329023361206,0.06750316635470435,0.06184825673699379,0.34180748462677,0.1658746302127838,0.1967974305152893,0.3060944080352783,0.3311413824558258,True
site_005,2015-08-02,ndmi,10,9009.587406432553,0.5764136860390978,37,44,7,37,1.0,0.2665297380975775,0.2706491947174072,0.045943467718736086,0.14944738149642944,0.33805081248283386,0.22486230731010437,0.24113263189792633,0.3095890283584595,0.3254437744617462,True
site_005,2015-08-02,ndmi,20,4371.697514257867,0.2796916401124215,19,20,1,19,1.0,0.2941135270030875,0.3069518804550171,0.04622794536018635,0.16187290847301483,0.34434837102890015,0.23300062119960785,0.2834128737449646,0.3296416997909546,0.34232211112976074,True
site_005,2015-08-09,ndmi,0,15630.418958895847,1.0,66,110,100,10,0.15151515151515152,0.19505838081240653,0.2036711573600769,0.04657225269651795,0.11022114008665085,0.2769656181335449,0.15377724170684814,0.1811218112707138,0.21924518048763275,0.2769656181335449,False
site_005,2015-08-09,ndmi,10,9009.587406432553,0.5764136860390978,37,44,38,6,0.16216216216216217,0.21707293887933096,0.24635003507137299,0.038061546587807055,0.16252389550209045,0.2613791227340698,0.18253079056739807,0.19669421017169952,0.25295957922935486,0.2613791227340698,False
site_005,2015-08-09,ndmi,20,4371.697514257867,0.2796916401124215,19,20,17,3,0.15789473684210525,0.20236505071322122,0.22748003900051117,0.0422485717754746,0.1428571492433548,0.23675796389579773,0.22748003900051117,0.22748003900051117,0.23675796389579773,0.23675796389579773,False
site_005,2015-08-12,ndmi,0,15630.418958895847,1.0,66,110,44,66,1.0,0.2259022309868173,0.2666085362434387,0.11486110526326163,-0.08500085771083832,0.37184980511665344,0.07732980698347092,0.16310502588748932,0.3113604485988617,0.3404558300971985,True
site_005,2015-08-12,ndmi,10,9009.587406432553,0.5764136860390978,37,44,7,37,1.0,0.2687486575261967,0.28493964672088623,0.06937184180723367,0.05795918405056,0.3626062273979187,0.1940193474292755,0.22985073924064636,0.32247787714004517,0.346082866191864,True
site_005,2015-08-12,ndmi,20,4371.697514257867,0.2796916401124215,19,20,1,19,1.0,0.3071272639851821,0.3143655061721802,0.054105100156448996,0.14353716373443604,0.3843051493167877,0.2646853029727936,0.2855200469493866,0.3386494815349579,0.3766147792339325,True
site_005,2015-08-19,ndmi,0,15630.418958895847,1.0,66,110,44,66,1.0,0.2812529330522838,0.3327174782752991,0.11198327888510638,-0.06600607186555862,0.42319929599761963,0.1494385302066803,0.21767988801002502,0.3614661991596222,0.3911972939968109,True
site_005,2015-08-19,ndmi,10,9009.587406432553,0.5764136860390978,37,44,7,37,1.0,0.3259416879028886,0.3435665965080261,0.060544661616229636,0.1494385302066803,0.40957221388816833,0.2637183964252472,0.28928571939468384,0.36395758390426636,0.39745578169822693,True
site_005,2015-08-19,ndmi,20,4371.697514257867,0.2796916401124215,19,20,1,19,1.0,0.3589424224276292,0.3592953085899353,0.04690411747552356,0.22287529706954956,0.4287351369857788,0.31910479068756104,0.3364972472190857,0.3867163360118866,0.426300585269928,True
site_005,2015-08-22,ndmi,0,15630.418958895847,1.0,66,110,44,66,1.0,0.24932338621213354,0.2856169044971466,0.11483754363907554,-0.06431359052658081,0.39674094319343567,0.09639016538858414,0.1871192306280136,0.3404330909252167,0.3771086633205414,True
site_005,2015-08-22,ndmi,10,9009.587406432553,0.5764136860390978,37,44,7,37,1.0,0.28710033603616664,0.296875,0.07232006067392295,0.07261650264263153,0.39343729615211487,0.22439108788967133,0.2385047972202301,0.3488602638244629,0.3771086633205414,True
site_005,2015-08-22,ndmi,20,4371.697514257867,0.2796916401124215,19,20,1,19,1.0,0.32068489962502533,0.32207006216049194,0.06095944417337795,0.16262975335121155,0.40761682391166687,0.26726096868515015,0.2869565188884735,0.36268043518066406,0.4027000367641449,True
site_005,2015-08-29,ndmi,0,15630.418958895847,1.0,66,110,44,66,1.0,0.2849484070161865,0.31758779287338257,0.10892315443216094,-0.045623522251844406,0.4351145029067993,0.14584937691688538,0.2418278306722641,0.3640661835670471,0.3874979317188263,True
site_005,2015-08-29,ndmi,10,9009.587406432553,0.5764136860390978,37,44,7,37,1.0,0.32743887724103155,0.3333333432674408,0.05872515434846362,0.14584937691688538,0.4238095283508301,0.2512499988079071,0.2962668836116791,0.36748769879341125,0.40212443470954895,True
