decision_point_id,parcel_id,acquisition_date,evaluation_mode,rules_version,baseline_version,baseline_reference_years,baseline_start_date,baseline_end_date,generated_at,in_scope_season,eligible_for_analysis,eligibility_reason,ndmi_value,ndmi_monthly_median,ndmi_anomaly_value,ndmi_percentile,ndmi_reference_count,ndmi_state,valid_pixel_ratio,satellite_quality,water_balance_30d_value,water_balance_30d_monthly_median,water_balance_30d_anomaly_value,water_balance_30d_percentile,water_balance_reference_count,water_balance_state,soil_moisture_30d_value,soil_moisture_30d_monthly_median,soil_moisture_30d_anomaly_value,soil_moisture_30d_percentile,soil_moisture_reference_count,soil_moisture_state,vpd_7d_value,vpd_7d_monthly_median,vpd_7d_anomaly_value,vpd_7d_percentile,vpd_reference_count,vpd_state,precipitation_30d_value,precipitation_30d_monthly_median,precipitation_30d_anomaly_value,precipitation_30d_percentile,precipitation_reference_count,precipitation_state,hydro_context,low_signal_count_15d,persistence_state,rule_id,eve_decision,recommended_information_action,urgency,is_candidate,manual_review_possible,justification_codes,justification_text,probable_context,context_confidence,context_evidence,cost_model_version,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,cost_status,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,episode_id
site_004_20150730,site_004,2015-07-30,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,False,insufficient_satellite_observation,,0.2734845975964244,,,79,unknown,0.0,poor,-172.68,-96.62500000000003,-76.05499999999998,2.258064516129032,310,low,0.1805666666666666,0.2582833333333333,-0.07771666666666671,4.838709677419355,310,low,3.43,3.245,0.18500000000000005,60.322580645161295,310,normal,17.0,58.349999999999994,-41.349999999999994,6.129032258064516,310,low,very_dry,0,not_applicable,R1,abstain_insufficient_observation,wait_next_sentinel,none,False,True,rule_r1|poor_satellite_quality|ndmi_state_unknown|very_dry_hydro_context|low_precipitation_context,Observation Sentinel insuffisante : 0.0 % de pixels valides. EVE s'abstient.,insufficient_observability,none,Observation satellite insuffisante pour conclure.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150802,site_004,2015-08-02,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,False,insufficient_satellite_observation,0.3730887998244725,0.25245353688175487,0.12063526294271765,97.36842105263158,76,normal,0.4848484848484848,poor,-154.58999999999995,-105.7,-48.889999999999944,5.161290322580645,310,low,0.1745,0.19341666666666663,-0.018916666666666637,24.838709677419356,310,low,2.52,3.43,-0.9100000000000001,9.35483870967742,310,normal,24.700000000000003,48.14999999999999,-23.44999999999999,7.419354838709677,310,low,very_dry,0,not_applicable,R1,abstain_insufficient_observation,wait_next_sentinel,none,False,True,rule_r1|poor_satellite_quality|ndmi_within_seasonal_range|very_dry_hydro_context|low_precipitation_context,Observation Sentinel insuffisante : 48.5 % de pixels valides. EVE s'abstient.,insufficient_observability,none,Observation satellite insuffisante pour conclure.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150809,site_004,2015-08-09,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,False,insufficient_satellite_observation,,0.25245353688175487,,,76,unknown,0.0,poor,-123.92999999999998,-105.7,-18.229999999999976,15.806451612903224,310,low,0.1667666666666666,0.19341666666666663,-0.026650000000000035,9.032258064516128,310,low,4.56,3.43,1.1299999999999994,90.64516129032259,310,very_high,43.400000000000006,48.14999999999999,-4.749999999999986,46.12903225806452,310,normal,very_dry,0,not_applicable,R1,abstain_insufficient_observation,wait_next_sentinel,none,False,True,rule_r1|poor_satellite_quality|ndmi_state_unknown|very_dry_hydro_context|vpd_percentile_ge_90,Observation Sentinel insuffisante : 0.0 % de pixels valides. EVE s'abstient.,insufficient_observability,none,Observation satellite insuffisante pour conclure.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150812,site_004,2015-08-12,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.2873546545584263,0.25245353688175487,0.03490111767667142,69.73684210526315,76,normal,1.0,good,-113.53,-105.7,-7.829999999999998,30.32258064516129,310,normal,0.1681333333333333,0.19341666666666663,-0.025283333333333324,10.32258064516129,310,low,4.56,3.43,1.1299999999999994,90.64516129032259,310,very_high,44.7,48.14999999999999,-3.4499999999999886,47.74193548387097,310,normal,dry,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|dry_hydro_context|vpd_percentile_ge_90,"NDMI=0.287, anomalie=0.035, percentile mensuel=69.7. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150819,site_004,2015-08-19,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.3410927394800113,0.25245353688175487,0.08863920259825642,89.47368421052632,76,normal,1.0,good,-84.03999999999999,-105.7,21.66000000000001,74.83870967741936,310,normal,0.1755,0.19341666666666663,-0.017916666666666636,27.741935483870968,310,normal,2.38,3.43,-1.0500000000000003,8.38709677419355,310,normal,55.0,48.14999999999999,6.8500000000000085,61.29032258064516,310,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.341, anomalie=0.089, percentile mensuel=89.5. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150822,site_004,2015-08-22,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.3395170631508031,0.25245353688175487,0.08706352626904823,89.47368421052632,76,normal,1.0,good,-93.96,-105.7,11.740000000000009,66.12903225806451,310,normal,0.1789,0.19341666666666663,-0.014516666666666622,33.87096774193548,310,normal,2.55,3.43,-0.8800000000000003,12.258064516129032,310,normal,44.6,48.14999999999999,-3.54999999999999,47.74193548387097,310,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.340, anomalie=0.087, percentile mensuel=89.5. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150829,site_004,2015-08-29,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.3538830728185447,0.25245353688175487,0.10142953593678983,93.42105263157895,76,normal,1.0,good,-67.54000000000002,-105.7,38.15999999999998,79.35483870967742,310,normal,0.1885,0.19341666666666663,-0.004916666666666625,45.16129032258064,310,normal,2.7,3.43,-0.73,17.096774193548388,310,normal,67.19999999999999,48.14999999999999,19.049999999999997,75.16129032258064,310,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.354, anomalie=0.101, percentile mensuel=93.4. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150908,site_004,2015-09-08,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.2601634536333608,0.2119029810031255,0.04826047263023531,77.27272727272727,66,normal,1.0,good,-65.09,-57.885000000000005,-7.204999999999998,42.0,300,normal,0.2019999999999999,0.2166,-0.014600000000000085,35.66666666666667,300,normal,1.53,2.21,-0.6799999999999999,18.333333333333332,300,normal,58.00000000000001,58.74999999999999,-0.7499999999999858,49.333333333333336,300,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.260, anomalie=0.048, percentile mensuel=77.3. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150911,site_004,2015-09-11,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.2673054392252003,0.2119029810031255,0.05540245822207479,80.3030303030303,66,normal,1.0,good,-63.86999999999999,-57.885000000000005,-5.984999999999985,44.0,300,normal,0.2023666666666666,0.2166,-0.014233333333333376,36.0,300,normal,2.05,2.21,-0.16000000000000014,44.666666666666664,300,normal,56.7,58.74999999999999,-2.04999999999999,48.0,300,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.267, anomalie=0.055, percentile mensuel=80.3. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150918,site_004,2015-09-18,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,False,insufficient_satellite_observation,,0.2119029810031255,,,66,unknown,0.0,poor,31.13000000000001,-57.885000000000005,89.01500000000001,89.0,300,normal,0.2242,0.2166,0.007600000000000023,55.00000000000001,300,normal,1.98,2.21,-0.22999999999999998,39.33333333333333,300,normal,146.0,58.74999999999999,87.25,93.33333333333333,300,normal,normal,0,not_applicable,R1,abstain_insufficient_observation,wait_next_sentinel,none,False,True,rule_r1|poor_satellite_quality|ndmi_state_unknown|normal_hydro_context,Observation Sentinel insuffisante : 0.0 % de pixels valides. EVE s'abstient.,insufficient_observability,none,Observation satellite insuffisante pour conclure.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20150928,site_004,2015-09-28,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.2647924890854592,0.2119029810031255,0.052889508082333725,80.3030303030303,66,normal,1.0,good,37.040000000000006,-57.885000000000005,94.92500000000001,91.33333333333333,300,normal,0.2705,0.2166,0.05390000000000003,80.66666666666666,300,normal,1.11,2.21,-1.0999999999999999,4.666666666666667,300,normal,128.4,58.74999999999999,69.65,85.66666666666667,300,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.265, anomalie=0.053, percentile mensuel=80.3. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151001,site_004,2015-10-01,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.2891985176864899,0.20253489426139626,0.08666362342509365,88.0,50,normal,1.0,good,28.340000000000003,21.904999999999987,6.4350000000000165,55.16129032258065,310,normal,0.2809999999999999,0.2799499999999999,0.0010499999999999954,50.645161290322584,310,normal,1.24,1.17,0.07000000000000006,56.12903225806451,310,normal,112.6,83.59999999999998,29.000000000000014,72.58064516129032,310,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.289, anomalie=0.087, percentile mensuel=88.0. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151021,site_004,2015-10-21,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2016-01-01,2025-12-31,2026-06-23T13:21:49+00:00,True,True,eligible,0.3305660618299788,0.20253489426139626,0.12803116756858252,98.0,50,normal,1.0,good,26.23,21.904999999999987,4.3250000000000135,54.516129032258064,310,normal,0.3436,0.2799499999999999,0.0636500000000001,90.96774193548387,310,normal,0.6,1.17,-0.57,0.0,310,normal,78.1,83.59999999999998,-5.499999999999986,46.12903225806452,310,normal,normal,0,not_applicable,R2,wait,none,none,False,False,rule_r2|good_satellite_quality|ndmi_within_seasonal_range|normal_hydro_context,"NDMI=0.331, anomalie=0.128, percentile mensuel=98.0. Qualité satellite=good (100.0 % valides). Décision V0.1 issue de R2.",seasonal_range,none,NDMI dans sa distribution saisonnière habituelle.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151117,site_004,2015-11-17,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,-0.020330717020175,,,,0,unknown,0.1287878787878787,poor,-5.569999999999997,,,,0,unknown,0.3452,,,,0,unknown,0.72,,,,0,unknown,31.8,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|poor_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151120,site_004,2015-11-20,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,,,,,0,unknown,0.0,poor,-1.4000000000000057,,,,0,unknown,0.3426999999999999,,,,0,unknown,0.72,,,,0,unknown,35.1,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|poor_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151127,site_004,2015-11-27,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,0.1044886511991973,,,,0,unknown,0.2045454545454545,poor,23.980000000000004,,,,0,unknown,0.3537333333333333,,,,0,unknown,0.33,,,,0,unknown,55.900000000000006,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|poor_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151130,site_004,2015-11-30,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,,,,,0,unknown,0.0,poor,27.06000000000001,,,,0,unknown,0.3535666666666666,,,,0,unknown,0.4,,,,0,unknown,56.2,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|poor_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151207,site_004,2015-12-07,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,0.0343524663573286,,,,0,unknown,1.0,good,25.140000000000004,,,,0,unknown,0.3539333333333332,,,,0,unknown,0.51,,,,0,unknown,50.3,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|good_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151217,site_004,2015-12-17,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,,,,,0,unknown,0.0,poor,36.49,,,,0,unknown,0.3599333333333332,,,,0,unknown,0.4,,,,0,unknown,56.7,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|poor_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151227,site_004,2015-12-27,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,0.0734008884826449,,,,0,unknown,1.0,good,-11.03,,,,0,unknown,0.3543666666666666,,,,0,unknown,0.52,,,,0,unknown,8.4,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|good_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
site_004_20151230,site_004,2015-12-30,retrospective_loyo,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,,,,2026-06-23T13:21:49+00:00,False,False,out_of_scope_season,0.0685217704167095,,,,0,unknown,1.0,good,-8.47,,,,0,unknown,0.3497333333333333,,,,0,unknown,0.52,,,,0,unknown,11.6,,,,0,unknown,unknown,0,not_applicable,R0,out_of_scope,none,none,False,False,rule_r0|good_satellite_quality|ndmi_state_unknown|hydro_context_unknown,Date hors de la saison d'analyse EVE V0.1 (avril à octobre).,not_assessed,none,Date hors de la saison V0.1.,v0_theoretical_001,0,0,0,0,theoretical,False,not_started,none,not_available,False,,
