episode_id,parcel_id,episode_start_date,episode_end_date,peak_date,duration_days,decision_point_count,dominant_index,worst_ndmi_value,worst_ndmi_anomaly,lowest_ndmi_percentile,best_valid_pixel_ratio,dominant_hydro_context,highest_vpd_state,persistence_state,maximum_urgency,proposed_action,justification_codes,rules_version,baseline_version,evaluation_mode,cost_model_version,cost_status,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,generated_at
site_004_episode_20250401_29,site_004,2025-04-01,2025-05-16,2025-04-08,45,11,NDMI_BUFFER_10M,0.0322306716592389,-0.24408252204761308,0.0,1.0,normal,high,strong_persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20160428_01,site_004,2016-04-28,2016-05-08,2016-05-05,10,3,NDMI_BUFFER_10M,0.0696274073250772,-0.2511073231450582,0.0,1.0,normal,normal,strong_persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20210718_17,site_004,2021-07-18,2021-07-18,2021-07-18,0,1,NDMI_BUFFER_10M,0.17060195778807,-0.09754070714398319,0.0,1.0,normal,normal,single,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20240630_27,site_004,2024-06-30,2024-07-15,2024-06-30,15,2,NDMI_BUFFER_10M,0.2345861490272607,-0.06458012330712698,1.5151515151515151,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20220827_24,site_004,2022-08-27,2022-09-06,2022-08-27,10,2,NDMI_BUFFER_10M,0.165338731441421,-0.09144664777153541,5.970149253731343,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20201031_15,site_004,2020-10-31,2020-10-31,2020-10-31,0,1,NDMI_BUFFER_10M,0.11671990034114,-0.09129535633308648,6.382978723404255,1.0,normal,normal,single,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20230512_25,site_004,2023-05-12,2023-05-12,2023-05-12,0,1,NDMI_BUFFER_10M,0.192142850115099,-0.12761052497273742,6.521739130434782,0.9924242424242424,normal,high,single,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|rule_r4|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20230608_26,site_004,2023-06-08,2023-06-11,2023-06-08,3,2,NDMI_BUFFER_10M,0.2750194201979672,-0.04187316687382536,9.375,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20210929_19,site_004,2021-09-29,2021-09-29,2021-09-29,0,1,NDMI_BUFFER_10M,0.1725246507081795,-0.041064777861306995,10.0,1.0,normal,normal,single,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20211026_20,site_004,2021-10-26,2021-10-26,2021-10-26,0,1,NDMI_BUFFER_10M,0.1395464201844085,-0.07478585269277441,13.953488372093023,1.0,normal,normal,single,medium,review_raster,good_satellite_quality|ndmi_percentile_le_20|normal_hydro_context|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20210527_16,site_004,2021-05-27,2021-06-01,2021-05-27,5,2,NDMI_BUFFER_10M,0.2550075067150774,-0.0637645129904601,16.3265306122449,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20191030_12,site_004,2019-10-30,2019-10-30,2019-10-30,0,1,NDMI_BUFFER_10M,0.0483512590818722,-0.15418363517952405,2.083333333333333,0.8257575757575758,normal,normal,single,low,review_raster,ndmi_percentile_le_10|normal_hydro_context|rule_r3|usable_satellite_quality,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
