acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,evi_min,evi_max,evi_mean,evi_std,evi_p10,evi_p25,evi_median,evi_p75,evi_p90,ratio_evi_below_0,ratio_evi_0_0_2,ratio_evi_0_2_0_4,ratio_evi_0_4_0_6,ratio_evi_0_6_0_8,ratio_evi_above_0_8,site_id,name,crop_type,is_usable,evi_change_from_previous_usable,evi_rolling_mean_3
2025-01-01,2,S2A_MSIL2A_20250101T104441_N0511_R008_T31TFK_20250101T163700.SAFE | S2A_MSIL2A_20250101T104441_N0511_R008_T31TFL_20250101T163700.SAFE,2025-01-01T10:48:22.071000+00:00 | 2025-01-01T10:48:36.276000+00:00,8.15,18.0,27.85,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,1311,2600,1289,1311,1.0,0.08565928786993027,0.5505498647689819,0.3212309205786679,0.06533576144578389,0.2466997653245926,0.282460480928421,0.32308098673820496,0.3687266409397125,0.3983570635318756,0.0,0.04881769641495042,0.8581235697940504,0.09305873379099924,0.0,0.0,site_003,Parcelle blé,blé,True,,0.3212309205786679
2025-01-03,2,S2B_MSIL2A_20250103T103339_N0511_R108_T31TFK_20250103T144158.SAFE | S2B_MSIL2A_20250103T103339_N0511_R108_T31TFL_20250103T144158.SAFE,2025-01-03T10:38:24.870000+00:00 | 2025-01-03T10:38:39.588000+00:00,43.08,65.015,86.95,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
2025-01-06,2,S2B_MSIL2A_20250106T104329_N0511_R008_T31TFK_20250106T133256.SAFE | S2B_MSIL2A_20250106T104329_N0511_R008_T31TFL_20250106T133256.SAFE,2025-01-06T10:48:22.076000+00:00 | 2025-01-06T10:48:36.289000+00:00,91.18,94.725,98.27,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
2025-01-08,2,S2A_MSIL2A_20250108T103421_N0511_R108_T31TFK_20250108T144248.SAFE | S2A_MSIL2A_20250108T103421_N0511_R108_T31TFL_20250108T144248.SAFE,2025-01-08T10:38:20.396000+00:00 | 2025-01-08T10:38:35.124000+00:00,75.27,87.19999999999999,99.13,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
2025-01-11,2,S2A_MSIL2A_20250111T104411_N0511_R008_T31TFK_20250111T145701.SAFE | S2A_MSIL2A_20250111T104411_N0511_R008_T31TFL_20250111T145701.SAFE,2025-01-11T10:48:18.520000+00:00 | 2025-01-11T10:48:32.745000+00:00,75.6,86.585,97.57,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
2025-01-13,2,S2B_MSIL2A_20250113T103309_N0511_R108_T31TFK_20250113T124201.SAFE | S2B_MSIL2A_20250113T103309_N0511_R108_T31TFL_20250113T124201.SAFE,2025-01-13T10:38:24.064000+00:00 | 2025-01-13T10:38:38.780000+00:00,20.7,30.985,41.27,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,1311,2600,1723,877,0.6689549961861174,0.03559277579188347,0.2574121654033661,0.14664032352300302,0.032637141804670845,0.1083565428853035,0.124721959233284,0.1484690010547638,0.16959452629089355,0.18626898527145386,0.0,0.9566704675028507,0.043329532497149374,0.0,0.0,0.0,site_003,Parcelle blé,blé,False,,
2025-01-16,2,S2B_MSIL2A_20250116T104259_N0511_R008_T31TFK_20250116T180420.SAFE | S2B_MSIL2A_20250116T104259_N0511_R008_T31TFL_20250116T180420.SAFE,2025-01-16T10:48:20.004000+00:00 | 2025-01-16T10:48:34.225000+00:00,7.44,33.27,59.1,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,1311,2600,1289,1311,1.0,0.06859515607357025,0.2487586885690689,0.17727814505656725,0.0273636366690347,0.14617618918418884,0.1625598967075348,0.1780821979045868,0.19473738968372345,0.20924149453639984,0.0,0.8138825324180016,0.18611746758199849,0.0,0.0,0.0,site_003,Parcelle blé,blé,True,-0.14395277552210067,0.24925453281761759
2025-01-18,2,S2A_MSIL2A_20250118T103351_N0511_R108_T31TFK_20250118T143252.SAFE | S2A_MSIL2A_20250118T103351_N0511_R108_T31TFL_20250118T143252.SAFE,2025-01-18T10:38:23.528000+00:00 | 2025-01-18T10:38:38.247000+00:00,39.57,49.16,58.75,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,1311,2600,2151,449,0.34248665141113654,0.019662922248244286,0.31453362107276917,0.15762629036797846,0.04821744788994805,0.09960159659385681,0.12339819967746735,0.1515151560306549,0.1859504133462906,0.22751322388648987,0.0,0.8062360801781737,0.19376391982182628,0.0,0.0,0.0,site_003,Parcelle blé,blé,False,,
2025-01-21,2,S2C_MSIL2A_20250121T104411_N0511_R008_T31TFK_20250121T125310.SAFE | S2C_MSIL2A_20250121T104411_N0511_R008_T31TFL_20250121T125310.SAFE,2025-01-21T10:48:50.370000+00:00 | 2025-01-21T10:49:04.564000+00:00,64.69,71.68,78.67,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
2025-01-23,2,S2B_MSIL2A_20250123T103239_N0511_R108_T31TFK_20250123T131418.SAFE | S2B_MSIL2A_20250123T103239_N0511_R108_T31TFL_20250123T131418.SAFE,2025-01-23T10:38:26.439000+00:00 | 2025-01-23T10:38:41.161000+00:00,85.21,89.03999999999999,92.87,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,1311,2600,2600,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_003,Parcelle blé,blé,False,,
