acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndvi_min,ndvi_max,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p25,ndvi_median,ndvi_p75,ndvi_p90,ratio_ndvi_below_0,ratio_ndvi_0_0_2,ratio_ndvi_0_2_0_4,ratio_ndvi_0_4_0_6,ratio_ndvi_0_6_0_8,ratio_ndvi_above_0_8,site_id,name,crop_type,is_usable,ndvi_change_from_previous_usable,ndvi_rolling_mean_3
2025-01-01,2,S2A_MSIL2A_20250101T104441_N0511_R008_T31TFK_20250101T163700.SAFE | S2A_MSIL2A_20250101T104441_N0511_R008_T31TFL_20250101T163700.SAFE,2025-01-01T10:48:22.071000+00:00 | 2025-01-01T10:48:36.276000+00:00,8.15,18.0,27.85,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,168,216,48,168,1.0,0.4131322503089905,0.7896592020988464,0.7133608460426335,0.09238850138034026,0.5728362202644348,0.7126865386962891,0.7526025772094727,0.7644045948982239,0.7756286263465881,0.0,0.0,0.0,0.125,0.875,0.0,site_001,Parcelle abricotiers,abricotier,True,,0.7133608460426335
2025-01-03,2,S2B_MSIL2A_20250103T103339_N0511_R108_T31TFK_20250103T144158.SAFE | S2B_MSIL2A_20250103T103339_N0511_R108_T31TFL_20250103T144158.SAFE,2025-01-03T10:38:24.870000+00:00 | 2025-01-03T10:38:39.588000+00:00,43.08,65.015,86.95,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-06,2,S2B_MSIL2A_20250106T104329_N0511_R008_T31TFK_20250106T133256.SAFE | S2B_MSIL2A_20250106T104329_N0511_R008_T31TFL_20250106T133256.SAFE,2025-01-06T10:48:22.076000+00:00 | 2025-01-06T10:48:36.289000+00:00,91.18,94.725,98.27,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-08,2,S2A_MSIL2A_20250108T103421_N0511_R108_T31TFK_20250108T144248.SAFE | S2A_MSIL2A_20250108T103421_N0511_R108_T31TFL_20250108T144248.SAFE,2025-01-08T10:38:20.396000+00:00 | 2025-01-08T10:38:35.124000+00:00,75.27,87.19999999999999,99.13,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-11,2,S2A_MSIL2A_20250111T104411_N0511_R008_T31TFK_20250111T145701.SAFE | S2A_MSIL2A_20250111T104411_N0511_R008_T31TFL_20250111T145701.SAFE,2025-01-11T10:48:18.520000+00:00 | 2025-01-11T10:48:32.745000+00:00,75.6,86.585,97.57,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-13,2,S2B_MSIL2A_20250113T103309_N0511_R108_T31TFK_20250113T124201.SAFE | S2B_MSIL2A_20250113T103309_N0511_R108_T31TFL_20250113T124201.SAFE,2025-01-13T10:38:24.064000+00:00 | 2025-01-13T10:38:38.780000+00:00,20.7,30.985,41.27,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,168,216,128,88,0.5238095238095238,0.30563002824783325,0.5255128741264343,0.4039700413969431,0.04605140970134277,0.3552238941192627,0.36798492074012756,0.39625850319862366,0.43278688192367554,0.47011953592300415,0.0,0.0,0.5340909090909091,0.4659090909090909,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.3093908046456904,0.5586654437197883
2025-01-16,2,S2B_MSIL2A_20250116T104259_N0511_R008_T31TFK_20250116T180420.SAFE | S2B_MSIL2A_20250116T104259_N0511_R008_T31TFL_20250116T180420.SAFE,2025-01-16T10:48:20.004000+00:00 | 2025-01-16T10:48:34.225000+00:00,7.44,33.27,59.1,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,168,216,48,168,1.0,0.34613490104675293,0.7022143006324768,0.5819749367379006,0.09777357522344342,0.4170948266983032,0.5153719186782837,0.6305732727050781,0.654618501663208,0.6786096096038818,0.0,0.0,0.05357142857142857,0.3392857142857143,0.6071428571428571,0.0,site_001,Parcelle abricotiers,abricotier,True,0.17800489534095748,0.5664352747258258
2025-01-18,2,S2A_MSIL2A_20250118T103351_N0511_R108_T31TFK_20250118T143252.SAFE | S2A_MSIL2A_20250118T103351_N0511_R108_T31TFL_20250118T143252.SAFE,2025-01-18T10:38:23.528000+00:00 | 2025-01-18T10:38:38.247000+00:00,39.57,49.16,58.75,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,168,216,48,168,1.0,0.011278195306658745,0.03619631752371788,0.02351888462657198,0.004410485098578909,0.017862549051642418,0.020661156624555588,0.0234375,0.026406429708003998,0.02846418507397175,0.0,1.0,0.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.5584560521113286,0.33648795425380523
2025-01-21,2,S2C_MSIL2A_20250121T104411_N0511_R008_T31TFK_20250121T125310.SAFE | S2C_MSIL2A_20250121T104411_N0511_R008_T31TFL_20250121T125310.SAFE,2025-01-21T10:48:50.370000+00:00 | 2025-01-21T10:49:04.564000+00:00,64.69,71.68,78.67,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-23,2,S2B_MSIL2A_20250123T103239_N0511_R108_T31TFK_20250123T131418.SAFE | S2B_MSIL2A_20250123T103239_N0511_R108_T31TFL_20250123T131418.SAFE,2025-01-23T10:38:26.439000+00:00 | 2025-01-23T10:38:41.161000+00:00,85.21,89.03999999999999,92.87,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,168,216,216,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
