site_id,name,crop_type,acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,ndvi_geometry_pixel_count,ndvi_sample_count,ndvi_no_data_count,ndvi_valid_pixel_count,ndvi_valid_pixel_ratio,ndvi_min,ndvi_max,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p25,ndvi_median,ndvi_p75,ndvi_p90,ratio_ndvi_below_0,ratio_ndvi_0_0_2,ratio_ndvi_0_2_0_4,ratio_ndvi_0_4_0_6,ratio_ndvi_0_6_0_8,ratio_ndvi_above_0_8,ndvi_is_usable,ndvi_change_from_previous_usable,ndvi_rolling_mean_3,evi_geometry_pixel_count,evi_sample_count,evi_no_data_count,evi_valid_pixel_count,evi_valid_pixel_ratio,evi_min,evi_max,evi_mean,evi_std,evi_p10,evi_p25,evi_median,evi_p75,evi_p90,ratio_evi_below_0,ratio_evi_0_0_2,ratio_evi_0_2_0_4,ratio_evi_0_4_0_6,ratio_evi_0_6_0_8,ratio_evi_above_0_8,evi_is_usable,evi_change_from_previous_usable,evi_rolling_mean_3,ndmi_geometry_pixel_count,ndmi_sample_count,ndmi_no_data_count,ndmi_valid_pixel_count,ndmi_valid_pixel_ratio,ndmi_min,ndmi_max,ndmi_mean,ndmi_std,ndmi_p10,ndmi_p25,ndmi_median,ndmi_p75,ndmi_p90,ratio_ndmi_below_0,ratio_ndmi_0_0_2,ratio_ndmi_0_2_0_4,ratio_ndmi_0_4_0_6,ratio_ndmi_0_6_0_8,ratio_ndmi_above_0_8,ndmi_is_usable,ndmi_change_from_previous_usable,ndmi_rolling_mean_3,ndre_geometry_pixel_count,ndre_sample_count,ndre_no_data_count,ndre_valid_pixel_count,ndre_valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,ndre_is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3,usable_all_indices,date,site_id_weather,latitude,longitude,weather_model,timezone,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,relative_humidity_2m_mean,vapour_pressure_deficit_max,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,precipitation_7d,et0_7d,water_balance_7d,temperature_mean_7d,temperature_max_7d,relative_humidity_mean_7d,vpd_max_7d,radiation_sum_7d,wind_speed_mean_7d,soil_moisture_0_7cm_mean_7d,soil_moisture_7_28cm_mean_7d,rainy_days_7d,precipitation_14d,et0_14d,water_balance_14d,temperature_mean_14d,temperature_max_14d,relative_humidity_mean_14d,vpd_max_14d,radiation_sum_14d,wind_speed_mean_14d,soil_moisture_0_7cm_mean_14d,soil_moisture_7_28cm_mean_14d,rainy_days_14d,precipitation_30d,et0_30d,water_balance_30d,temperature_mean_30d,temperature_max_30d,relative_humidity_mean_30d,vpd_max_30d,radiation_sum_30d,wind_speed_mean_30d,soil_moisture_0_7cm_mean_30d,soil_moisture_7_28cm_mean_30d,rainy_days_30d,dryness_index_30d,ndmi_buffer_10m_mean,ndmi_buffer_10m_median,ndmi_buffer_10m_std,ndmi_buffer_10m_minimum,ndmi_buffer_10m_maximum,ndmi_buffer_10m_p10,ndmi_buffer_10m_p25,ndmi_buffer_10m_p75,ndmi_buffer_10m_p90,ndmi_buffer_10m_valid_pixel_count,ndmi_buffer_10m_valid_pixel_ratio,ndmi_buffer_10m_is_usable,ndmi_analysis_mean
site_004,Parcelle noyers,noyers,2015-07-30,2,S2A_MSIL2A_20150730T103016_N0500_R108_T31TFK_20231009T235104.SAFE | S2A_MSIL2A_20150730T103016_N0500_R108_T31TFL_20231009T235104.SAFE,2015-07-30T10:38:22.693000+00:00 | 2015-07-30T10:38:37.429000+00:00,55.63,61.245000000000005,66.86,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,False,2015-07-30,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,18.9,14.6,23.1,0.0,52.0,1.92,5.07,21.73,13.7,0.152,0.161,1.3,34.61,-33.31,21.45714285714286,32.1,48.42857142857143,3.43,151.81,9.028571428571428,0.167,0.1625714285714286,0.0,16.099999999999998,74.53,-58.43000000000001,23.85,34.2,51.285714285714285,4.19,315.46000000000004,9.021428571428572,0.1626428571428571,0.1645,4.0,17.0,189.68,-172.68,24.85,34.5,47.6,4.19,765.1,10.943333333333332,0.1516,0.1805666666666666,4.0,172.68,,,,,,,,,,0,0.0,False,
site_004,Parcelle noyers,noyers,2015-08-02,2,S2A_MSIL2A_20150802T104026_N0500_R008_T31TFK_20231010T074654.SAFE | S2A_MSIL2A_20150802T104026_N0500_R008_T31TFL_20231010T074654.SAFE,2015-08-02T10:48:20.238000+00:00 | 2015-08-02T10:48:34.474000+00:00,3.77,4.865,5.96,570,868,544,324,0.5684210526315789,0.2294617593288421,0.9351797103881836,0.8083695824499484,0.12565848695707,0.6253915429115295,0.7967072129249573,0.8542914390563965,0.8842203617095947,0.907010018825531,0.0,0.0,0.015432098765432,0.074074074074074,0.1635802469135802,0.7469135802469136,False,,,570,868,544,324,0.5684210526315789,0.089614987373352,0.7337746620178223,0.3623633255699166,0.1533176573372221,0.1939979046583175,0.2327562421560287,0.324869304895401,0.4861438274383545,0.5940327644348145,0.0,0.1234567901234567,0.4907407407407407,0.2901234567901234,0.095679012345679,0.0,False,,,163,224,129,95,0.5828220858895705,-0.2051282078027725,0.4741949737071991,0.2957756978214571,0.1265705055785413,0.0943666994571685,0.2429122179746627,0.3236593008041382,0.3888888955116272,0.4231805801391601,0.031578947368421,0.1473684210526315,0.6105263157894737,0.2105263157894736,0.0,0.0,False,,,163,224,129,95,0.5828220858895705,0.2663115859031677,0.7210526466369629,0.567193432230698,0.0967628210626124,0.4442595541477203,0.5288357138633728,0.5819838047027588,0.639053225517273,0.6739769577980042,0.0,0.0,0.0736842105263157,0.5157894736842106,0.4105263157894737,0.0,False,,,False,2015-08-02,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,20.9,13.7,27.5,0.0,66.0,2.25,4.89,26.21,5.6,0.243,0.164,8.3,31.42,-23.12,20.214285714285715,27.5,53.71428571428572,2.52,144.64,8.3,0.1761428571428571,0.1618571428571428,1.0,19.4,69.68,-50.28,22.342857142857135,33.5,53.5,3.53,308.94,8.735714285714286,0.1769285714285714,0.1630714285714285,3.0,24.700000000000003,179.29,-154.58999999999995,24.2,34.5,49.03333333333333,4.19,742.1500000000001,10.169999999999998,0.1560333333333333,0.1745,5.0,154.58999999999995,0.3730887998244725,0.3987305164337158,0.1242440671967577,-0.0162443146109581,0.6069629192352295,0.2413793057203292,0.3182173669338226,0.4552901089191437,0.4867444336414337,64,0.4848484848484848,False,0.3730887998244725
site_004,Parcelle noyers,noyers,2015-08-09,2,S2A_MSIL2A_20150809T103016_N0500_R108_T31TFK_20231010T210842.SAFE | S2A_MSIL2A_20150809T103016_N0500_R108_T31TFL_20231010T210842.SAFE,2015-08-09T10:38:24.101000+00:00 | 2015-08-09T10:38:38.835000+00:00,62.76,77.795,92.83,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,False,2015-08-09,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,21.2,19.0,24.5,17.5,78.0,1.23,3.04,14.13,8.0,0.321,0.171,19.6,37.4,-17.799999999999997,25.17142857142857,35.5,55.57142857142857,4.56,153.27,8.514285714285714,0.201,0.1641428571428571,2.0,27.9,68.82000000000001,-40.92000000000001,22.692857142857147,35.5,54.642857142857146,4.56,297.91,8.407142857142857,0.1885714285714285,0.163,3.0,43.400000000000006,167.32999999999998,-123.92999999999998,24.110000000000003,35.5,51.43333333333333,4.56,702.84,9.126666666666669,0.1699333333333333,0.1667666666666666,7.0,123.92999999999998,,,,,,,,,,0,0.0,False,
site_004,Parcelle noyers,noyers,2015-08-12,2,S2A_MSIL2A_20150812T104026_N0500_R008_T31TFK_20231010T220511.SAFE | S2A_MSIL2A_20150812T104026_N0500_R008_T31TFL_20231010T220511.SAFE,2015-08-12T10:48:21.274000+00:00 | 2015-08-12T10:48:35.507000+00:00,1.02,1.22,1.42,570,868,298,570,1.0,0.2946489155292511,0.9001782536506653,0.8023442255823235,0.0983100323423394,0.692842960357666,0.7767220735549927,0.8302491903305054,0.8652001023292542,0.8847047686576843,0.0,0.0,0.0087719298245614,0.0473684210526315,0.2982456140350877,0.6456140350877193,True,,0.8023442255823235,570,868,298,570,1.0,0.1982499361038208,0.7370648980140686,0.596699967562106,0.0895960593188668,0.490217387676239,0.5550235509872437,0.6153903603553772,0.6612867116928101,0.6880449652671814,0.0,0.0017543859649122,0.043859649122807,0.3789473684210526,0.5754385964912281,0.0,True,,0.596699967562106,163,224,61,163,1.0,-0.1136476397514343,0.4288179576396942,0.2618735892686741,0.1077845392701718,0.1160809397697448,0.2215464860200882,0.2839160859584808,0.3356533944606781,0.3750223219394684,0.0368098159509202,0.1656441717791411,0.754601226993865,0.0429447852760736,0.0,0.0,True,,0.2618735892686741,163,224,61,163,1.0,0.2514307498931885,0.6997465491294861,0.5812797198997686,0.0858880584250185,0.4677217900753021,0.544421911239624,0.5966693758964539,0.6405911445617676,0.6725214719772339,0.0,0.0,0.0490797546012269,0.4723926380368098,0.4785276073619632,0.0,True,,0.5812797198997686,True,2015-08-12,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,26.2,20.5,32.1,0.0,52.0,3.38,5.15,24.48,3.6,0.248,0.197,20.700000000000003,33.61,-12.909999999999997,24.485714285714288,35.5,59.142857142857146,4.56,140.35,9.1,0.2345714285714285,0.1772857142857143,3.0,28.6,67.89,-39.29,23.15,35.5,57.785714285714285,4.56,295.83,8.592857142857143,0.2154285714285714,0.1699999999999999,4.0,44.7,158.23,-113.53,23.9,35.5,53.46666666666667,4.56,674.73,8.783333333333333,0.1845333333333333,0.1681333333333333,8.0,113.53,0.2873546545584263,0.2978905737400055,0.0821482922362194,-0.0063097169622778,0.4099818766117096,0.2118061929941177,0.2462311536073684,0.3549257814884186,0.3807913362979889,132,1.0,True,0.2873546545584263
site_004,Parcelle noyers,noyers,2015-08-19,2,S2A_MSIL2A_20150819T103026_N0500_R108_T31TFK_20231011T003344.SAFE | S2A_MSIL2A_20150819T103026_N0500_R108_T31TFL_20231011T003344.SAFE,2015-08-19T10:38:24.358000+00:00 | 2015-08-19T10:38:39.092000+00:00,5.06,5.895,6.73,570,868,298,570,1.0,0.4166256785392761,0.9422066807746888,0.8640487230137773,0.0845405888126415,0.7728285193443298,0.8546603322029114,0.8883000612258911,0.9106529355049132,0.9308462142944336,0.0,0.0,0.0,0.0298245614035087,0.075438596491228,0.8947368421052632,True,0.0617044974314537,0.8331964742980504,570,868,298,570,1.0,0.272504985332489,0.7975522875785828,0.6883620802770579,0.086299345019626,0.5858676433563232,0.6630943417549133,0.7182765603065491,0.7420763969421387,0.7594545483589172,0.0,0.0,0.019298245614035,0.1017543859649122,0.8789473684210526,0.0,True,0.0916621127149519,0.642531023919582,163,224,61,163,1.0,-0.0376130789518356,0.4437066614627838,0.3165866402977723,0.0939890203641437,0.1958183795213699,0.2944509387016296,0.3401370346546173,0.3761495649814605,0.403445690870285,0.0184049079754601,0.0920245398773006,0.7852760736196319,0.1042944785276073,0.0,0.0,True,0.0547130510290982,0.2892301147832232,163,224,61,163,1.0,0.3017223179340362,0.7212998867034912,0.6135690941766728,0.0784996436911487,0.5165455937385559,0.5766531229019165,0.6402280926704407,0.6649466753005981,0.6889699101448059,0.0,0.0,0.0306748466257668,0.2822085889570552,0.6871165644171779,0.0,True,0.0322893742769042,0.5974244070382206,True,2015-08-19,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,18.1,12.0,23.0,0.0,56.0,1.84,4.49,21.11,11.8,0.226,0.204,14.7,25.62,-10.920000000000002,19.0,28.5,63.0,2.38,116.61,10.271428571428572,0.2581428571428571,0.2021428571428571,2.0,35.400000000000006,59.23,-23.83,21.74285714285714,35.5,61.07142857142857,4.56,256.96000000000004,9.685714285714283,0.2463571428571428,0.1897142857142857,5.0,55.0,139.04,-84.03999999999999,22.17,35.5,57.333333333333336,4.56,612.55,8.953333333333335,0.2124,0.1755,8.0,84.03999999999999,0.3410927394800113,0.3523421585559845,0.0624430551478918,0.064226895570755,0.4392120540142059,0.2745953500270843,0.3200373947620392,0.3778538703918457,0.4057344198226928,132,1.0,True,0.3410927394800113
site_004,Parcelle noyers,noyers,2015-08-22,2,S2A_MSIL2A_20150822T104036_N0500_R008_T31TFK_20231011T040550.SAFE | S2A_MSIL2A_20150822T104036_N0500_R008_T31TFL_20231011T040550.SAFE,2015-08-22T10:48:21.177000+00:00 | 2015-08-22T10:48:35.413000+00:00,2.22,8.73,15.24,570,868,298,570,1.0,0.3449334800243377,0.9171310663223268,0.8391691861968289,0.0878006578110612,0.7461174726486206,0.8358521461486816,0.8678874969482422,0.886550784111023,0.9003083109855652,0.0,0.0,0.0052631578947368,0.0350877192982456,0.1228070175438596,0.8368421052631579,True,-0.0248795368169484,0.83518737826431,570,868,298,570,1.0,0.2187885493040084,0.7351500988006592,0.6251033049142162,0.0827549259053878,0.5138129591941833,0.6015953421592712,0.652642548084259,0.6758436560630798,0.6948031187057495,0.0,0.0,0.0350877192982456,0.2157894736842105,0.7491228070175439,0.0,True,-0.0632587753628417,0.6367217842511267,163,224,61,163,1.0,-0.0721977055072784,0.4537097811698913,0.3111922137690651,0.10312801248253,0.1692850887775421,0.2763085961341858,0.3402995467185974,0.3776186108589172,0.4137807786464691,0.0184049079754601,0.1042944785276073,0.7607361963190185,0.1165644171779141,0.0,0.0,True,-0.0053944265287071,0.2965508144451705,163,224,61,163,1.0,0.2954152226448059,0.6997827291488647,0.6021010131558023,0.0777728397191105,0.5053380727767944,0.5704196095466614,0.6296442151069641,0.6555401682853699,0.6763636469841003,0.0,0.0,0.0368098159509202,0.3312883435582822,0.6319018404907976,0.0,True,-0.0114680810208704,0.5989832757440813,True,2015-08-22,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,22.5,16.0,28.1,0.0,50.0,2.55,5.16,22.09,8.0,0.182,0.195,0.5,30.69,-30.19,19.071428571428573,28.1,56.57142857142857,2.55,142.22,10.428571428571429,0.227,0.2024285714285714,0.0,33.5,56.54,-23.04,20.414285714285715,32.1,61.57142857142857,3.38,258.26,9.542857142857144,0.2537857142857143,0.1975,4.0,44.6,138.56,-93.96,21.69666666666667,35.5,56.3,4.56,613.3000000000001,8.966666666666667,0.2141666666666666,0.1789,6.0,93.96,0.3395170631508031,0.3505101203918457,0.0686345808646777,0.0695165768265724,0.4355448484420776,0.2596153914928436,0.3154102861881256,0.3796390891075134,0.4120141267776489,132,1.0,True,0.3395170631508031
site_004,Parcelle noyers,noyers,2015-08-29,2,S2A_MSIL2A_20150829T103026_N0500_R108_T31TFK_20231011T023648.SAFE | S2A_MSIL2A_20150829T103026_N0500_R108_T31TFL_20231011T023648.SAFE,2015-08-29T10:38:24.008000+00:00 | 2015-08-29T10:38:38.745000+00:00,0.85,7.42,13.99,570,868,298,570,1.0,0.3918770551681518,0.9418386220932008,0.8779085433273989,0.0801183159137835,0.7994628548622131,0.8771331310272217,0.9049295783042908,0.9177587032318116,0.930002212524414,0.0,0.0,0.0017543859649122,0.0210526315789473,0.0807017543859649,0.8964912280701754,True,0.0387393571305699,0.8603754841793351,570,868,298,570,1.0,0.23255056142807,0.8098318576812744,0.6862048966319938,0.0864188579155233,0.5801204442977905,0.6615374088287354,0.7125940918922424,0.7386462092399597,0.761316180229187,0.0,0.0,0.0157894736842105,0.1280701754385965,0.8508771929824561,0.0052631578947368,True,0.0611015917177776,0.6665567606077559,163,224,61,163,1.0,-0.0547894164919853,0.4403154850006103,0.3264273157046158,0.0995350202276742,0.1963109374046325,0.3015298545360565,0.3591177761554718,0.3908496797084808,0.4186939895153045,0.0122699386503067,0.0981595092024539,0.7116564417177914,0.1779141104294478,0.0,0.0,True,0.0152351019355507,0.3180687232571511,163,224,61,163,1.0,0.3232778012752533,0.7210960984230042,0.628867670802251,0.0717513713605501,0.53899747133255,0.5994764566421509,0.6585366129875183,0.6760282516479492,0.6932153105735779,0.0,0.0,0.0122699386503067,0.2453987730061349,0.7423312883435583,0.0,True,0.0267666576464487,0.6148459260449087,True,2015-08-29,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,23.4,16.6,29.8,0.0,59.0,2.7,5.41,22.69,11.5,0.206,0.204,23.9,30.790000000000003,-6.890000000000001,20.542857142857144,29.8,62.57142857142857,2.7,136.37,11.414285714285716,0.2444285714285714,0.2037142857142857,2.0,24.4,61.48,-37.08,19.807142857142857,29.8,59.57142857142857,2.7,278.59,10.921428571428573,0.2357142857142857,0.2030714285714285,2.0,67.19999999999999,134.74,-67.54000000000002,21.48333333333333,35.5,59.6,4.56,597.86,9.523333333333332,0.2322333333333333,0.1885,8.0,67.54000000000002,0.3538830728185447,0.3702127635478973,0.063595059427303,0.0399205572903156,0.4413323104381561,0.2783083319664001,0.3352144360542297,0.3945319056510925,0.415334939956665,132,1.0,True,0.3538830728185447
site_004,Parcelle noyers,noyers,2015-09-08,2,S2A_MSIL2A_20150908T103036_N0500_R108_T31TFK_20231010T073304.SAFE | S2A_MSIL2A_20150908T103036_N0500_R108_T31TFL_20231010T073304.SAFE,2015-09-08T10:38:26.259000+00:00 | 2015-09-08T10:38:40.986000+00:00,3.19,6.569999999999999,9.95,570,868,298,570,1.0,0.3679568767547607,0.8886827230453491,0.786042909298027,0.087161206260696,0.6600397825241089,0.7514901161193848,0.8144536018371582,0.8515123724937439,0.8695753216743469,0.0,0.0,0.0017543859649122,0.031578947368421,0.4052631578947368,0.5614035087719298,True,-0.0918656340293718,0.8343735462740849,570,868,298,570,1.0,0.2394846826791763,0.7575057744979858,0.6174136122329196,0.0883215546097278,0.4989820420742035,0.5619834661483765,0.6347327828407288,0.6885204911231995,0.7120178937911987,0.0,0.0,0.0175438596491228,0.3614035087719298,0.6210526315789474,0.0,True,-0.0687912843990742,0.6429072712597098,163,224,61,163,1.0,-0.0490463227033615,0.4283036589622497,0.2493071595629666,0.1078238811790885,0.1049924343824386,0.162748098373413,0.2654728293418884,0.342470109462738,0.379586398601532,0.0122699386503067,0.3190184049079754,0.6380368098159509,0.0306748466257668,0.0,0.0,True,-0.0771201561416492,0.2956422296788825,163,224,61,163,1.0,0.2638888955116272,0.6777042150497437,0.5572092116244736,0.0732519988159948,0.4698605835437774,0.5116279125213623,0.5666126012802124,0.6164654493331909,0.6447861790657043,0.0,0.0,0.0245398773006134,0.6503067484662577,0.3251533742331288,0.0,True,-0.0716584591777774,0.5960592985275089,True,2015-09-08,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,15.4,8.6,21.7,0.0,63.0,1.53,3.58,19.91,7.8,0.201,0.203,0.1,24.43,-24.33,15.685714285714283,22.0,60.57142857142857,1.53,119.53,11.55714285714286,0.2438571428571428,0.2067142857142857,0.0,18.1,60.0,-41.9,18.857142857142858,30.0,59.642857142857146,2.9,264.56,12.435714285714283,0.2329285714285714,0.2050714285714285,1.0,58.00000000000001,123.09,-65.09,19.49,32.1,60.766666666666666,3.38,553.86,10.96,0.2419333333333333,0.2019999999999999,6.0,65.09,0.2601634536333608,0.2767512798309326,0.1012582765909997,0.0100747477263212,0.4107199609279632,0.1058899238705635,0.2006956487894058,0.3418010175228119,0.3809602856636047,132,1.0,True,0.2601634536333608
site_004,Parcelle noyers,noyers,2015-09-11,2,S2A_MSIL2A_20150911T104036_N0500_R008_T31TFK_20231010T021014.SAFE | S2A_MSIL2A_20150911T104036_N0500_R008_T31TFL_20231010T021014.SAFE,2015-09-11T10:48:23.696000+00:00 | 2015-09-11T10:48:37.918000+00:00,36.35,37.525000000000006,38.7,570,868,298,570,1.0,0.4546989202499389,0.899725615978241,0.7882032434668458,0.091134369208851,0.6387709379196167,0.7472859025001526,0.8185214996337891,0.8588588833808899,0.8791912198066711,0.0,0.0,0.0,0.0578947368421052,0.3807017543859649,0.5614035087719298,True,0.0021603341688187,0.8173848986974238,570,868,298,570,1.0,0.2767786681652069,0.6835415363311768,0.5529739220414247,0.0788687487768577,0.4420821070671081,0.5028424263000488,0.5671260356903076,0.6179859638214111,0.6422954201698303,0.0,0.0,0.043859649122807,0.6087719298245614,0.3473684210526316,0.0,True,-0.0644396901914948,0.6188641436354461,163,224,61,163,1.0,-0.0205992516130208,0.4367878437042236,0.2515209747101266,0.1079473389263548,0.1092783510684967,0.167690634727478,0.2701949775218963,0.3443787097930908,0.393985241651535,0.0122699386503067,0.3067484662576687,0.6012269938650306,0.0797546012269938,0.0,0.0,True,0.0022138151471599,0.2757518166592363,163,224,61,163,1.0,0.3178723454475403,0.6859151721000671,0.5569908948032402,0.0733948582742155,0.4635901749134063,0.5069042444229126,0.5619730353355408,0.6169945597648621,0.6508333086967468,0.0,0.0,0.0245398773006134,0.6625766871165644,0.3128834355828221,0.0,True,-0.0002183168212334,0.5810225924099882,True,2015-09-11,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,18.1,13.5,23.0,0.0,69.0,1.48,3.48,16.06,12.6,0.178,0.196,0.0,24.49,-24.49,16.457142857142856,24.4,58.0,2.05,120.72,10.257142857142856,0.204,0.2025714285714286,0.0,18.1,54.06,-35.96,18.27142857142857,30.0,59.785714285714285,2.9,247.19,10.907142857142858,0.2196428571428571,0.2027857142857143,1.0,56.7,120.57,-63.86999999999999,19.056666666666665,30.0,60.3,2.9,548.26,10.676666666666668,0.2324,0.2023666666666666,5.0,63.86999999999999,0.2673054392252003,0.2897301316261291,0.1005089161769525,0.0267992578446865,0.426780641078949,0.1240182667970657,0.2035999298095703,0.3492196798324585,0.3954727053642273,132,1.0,True,0.2673054392252003
site_004,Parcelle noyers,noyers,2015-09-18,2,S2A_MSIL2A_20150918T103036_N0500_R108_T31TFK_20231018T082648.SAFE | S2A_MSIL2A_20150918T103036_N0500_R108_T31TFL_20231018T082648.SAFE,2015-09-18T10:38:27.410000+00:00 | 2015-09-18T10:38:42.130000+00:00,17.78,21.935,26.09,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,570,868,868,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,163,224,224,0,0.0,,,,,,,,,,,,,,,,False,,,False,2015-09-18,site_004,45.13382184152735,4.973524892928049,era5_seamless,Europe/Paris,14.8,12.1,18.1,4.4,74.0,0.97,2.02,11.69,5.0,0.406,0.398,104.0,19.92,84.08,18.15714285714286,25.4,70.0,1.98,80.83,13.214285714285714,0.3191428571428571,0.2957142857142857,4.0,104.0,44.41,59.59,17.307142857142857,25.4,64.0,2.05,201.55,11.735714285714286,0.2615714285714286,0.2491428571428571,4.0,146.0,114.87,31.13000000000001,18.86,30.0,61.93333333333333,2.9,512.48,11.363333333333332,0.2466333333333333,0.2242,7.0,-31.13000000000001,,,,,,,,,,0,0.0,False,
